Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Application method (product.metafields.shopify.application-method),Caffeine content (product.metafields.shopify.caffeine-content),Coffee product form (product.metafields.shopify.coffee-product-form),Coffee roast (product.metafields.shopify.coffee-roast),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Gardening use (product.metafields.shopify.gardening-use),Heat function (product.metafields.shopify.heat-function),Ingredient category (product.metafields.shopify.ingredient-category),Massage technique (product.metafields.shopify.massage-technique),Muscle stimulator design (product.metafields.shopify.muscle-stimulator-design),Nutrient content (product.metafields.shopify.nutrient-content),Power source (product.metafields.shopify.power-source),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Water filter application (product.metafields.shopify.water-filter-application),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ems,EMS Home Training,"<p><strong>Boost Recovery &amp; Enhance Performance with EMS Technology!</strong></p>
<p>Revolutionize your fitness and recovery routine with our cutting-edge<span> </span><strong>EMS (Electrical Muscle Stimulation)</strong><span> </span>products. Designed to stimulate muscle contractions using safe, low-frequency electrical impulses, our EMS devices help you build strength, improve endurance, and accelerate recovery—all from the comfort of your home or on the go.</p>
<p>Whether you're an athlete looking to enhance performance, a fitness enthusiast aiming to tone muscles, or someone seeking relief from muscle soreness, our EMS technology delivers professional-grade results. Easy to use and highly effective, it’s the perfect addition to your wellness toolkit.</p>
<p> </p>",atpgroupservices,Health & Beauty > Health Care > Occupational & Physical Therapy Equipment > Electrical Muscle Stimulators,"","",true,Package,10 sessions,,,,,,,,"",0.0,,0,deny,manual,2000.00,,false,false,"",https://cdn.shopify.com/s/files/1/0723/0744/1902/files/IMG_3990.jpg?v=1743431166,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,electrodes-unit,,rechargeable,,,,,,,,,,https://cdn.shopify.com/s/files/1/0723/0744/1902/files/EMS1_52b38d78-5144-4941-98d3-c4957a8fb6cb.jpg?v=1743431166,kg,,,active
ems,,,,,,,,,20 sessions,,,,,,,,"",0.0,,0,deny,manual,3800.00,,false,false,"",https://cdn.shopify.com/s/files/1/0723/0744/1902/files/IMG_3549.jpg?v=1743431166,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0723/0744/1902/files/EMS4_aefa0511-dd3c-4c9d-9d55-042b1cb4a678.jpg?v=1743431166,kg,,,
ems,,,,,,,,,30 sessions,,,,,,,,"",0.0,,0,deny,manual,5400.00,,false,false,"",https://cdn.shopify.com/s/files/1/0723/0744/1902/files/EMS1_52b38d78-5144-4941-98d3-c4957a8fb6cb.jpg?v=1743431166,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0723/0744/1902/files/EMS3_244c4b4e-0abb-4930-a18f-485287987909.jpg?v=1743431166,kg,,,
ems,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0723/0744/1902/files/EMS4_aefa0511-dd3c-4c9d-9d55-042b1cb4a678.jpg?v=1743431166,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ems,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0723/0744/1902/files/EMS3_244c4b4e-0abb-4930-a18f-485287987909.jpg?v=1743431166,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ems-pro-one-suit,EMS PRO ONE SUIT,"<p>The EMS PRO ONE SUIT is a cutting-edge garment designed for advanced athletes and fitness enthusiasts. With its innovative technology and ergonomic design, this suit provides targeted electrical muscle stimulation to enhance performance and improve muscle recovery. Experience the next level of training with the EMS PRO ONE SUIT.<br><strong></strong></p>
<p>Transform the way you train and recover—shop now and experience the power of EMS technology!</p>

<script>
  window.location.href = 'https://ems-pro.one/?ref=ATPTRADING';
</script>",atpgroupservices,Sporting Goods > Fitness & General Exercise Equipment,"","",true,packages,EMS PRO ONE SUIT,,,,,,,,"",0.0,,0,deny,manual,2900.00,,false,false,"",https://cdn.shopify.com/s/files/1/0723/0744/1902/files/Suit-double-shadow.png?v=1739547755,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
ems-pro-one-suit,,,,,,,,,EMS Start Package 1x EMS Suit Unisex + 1x Control Box,,,,,,,,"",0.0,,0,deny,manual,6200.00,,false,false,"",https://cdn.shopify.com/s/files/1/0723/0744/1902/files/phone-shadow.png?v=1739547755,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ems-pro-one-suit,,,,,,,,,Partner Package 2x EMS Suit Unisex + 1x Control Box,,,,,,,,"",0.0,,0,deny,manual,8850.00,,false,false,"",https://cdn.shopify.com/s/files/1/0723/0744/1902/files/gempages_541830199419863929-f9bcff32-8283-44f9-8229-50e883ee5256.webp?v=1739547755,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ems-pro-one-suit,,,,,,,,,Friends-Package: 2x EMS Suit Unisex + 2x Control Box,,,,,,,,"",0.0,,0,deny,manual,11700.00,,false,false,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
smone-brightening-cream,S’MONE Brightening Cream – Advanced Radiance Formula,"<h2>S’MONE Brightening Cream – Advanced Radiance Formula</h2>
<div><br></div>
<h3>With NIO VCS, Fermented Honey &amp; Botanical Extracts</h3>
<div><br></div>
<h4>Reveal Brighter, Smoother, Stronger Skin – Naturally</h4>
<div><br></div>
<h5>A clinically-tested lightweight gel-cream using a 4-step system:</h5>
<h5>Antioxidant defense – Inhibit melanin production – Block melanin migration – Gentle exfoliation</h5>
<div><br></div>
<div><strong>Key Benefits:</strong></div>
<div><span> • Reduces dark spots, melasma, uneven tone</span></div>
<div><span> • Deeply hydrates and strengthens the skin barrier</span></div>
<div><span> • Enhances radiance within 14 days* (*Results may vary)</span></div>
<div><span> • Strengthens and protects against daily environmental damage</span></div>
<div><br></div>
<div><strong>Hero Ingredients:</strong></div>
<div><span> • Encapsulated Vitamin C (NIO VCS) – 10x more stable than regular Vitamin C</span></div>
<div><span> • Clair Blanche II Complex – 7 plant extracts to reduce melanin production</span></div>
<div><span> • Tranexamic Acid – Inhibits melanin synthesis</span></div>
<div><span> • Fermented Honey – Gentle exfoliant</span></div>
<div><span> • HYA 8 Complex – 8 forms of Hyaluronic Acid for deep hydration</span></div>
<div><span> • Beta-Glucan – Boosts skin resilience</span></div>
<div><span> • Collagen Amino Acids – Support skin structure</span></div>
<div><span> • Bifida Ferment Lysate – Enhances microbiome, reduces sensitivity</span></div>
<div><span> • Fullerene – Japanese antioxidant that inhibits melanin</span></div>
<div><span> • Chondrus Crispus – Forms moisture-locking barrier</span></div>
<div><br></div>
<div><strong>How to Use:</strong></div>
<div>Apply morning and evening to clean face and neck.</div>
<div>Massage gently until fully absorbed.</div>
<div>Use sunscreen in daytime.</div>
<div><br></div>
<div><strong>Note:</strong></div>
<div>This is a cosmetic product.</div>
<div>Does not bleach or alter natural skin tone.</div>
<div>Results vary by skin condition and usage consistency.</div>",atpgroupservices,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,9,deny,manual,170.00,,true,false,"",https://cdn.shopify.com/s/files/1/0723/0744/1902/files/Brightening_cream_page-0001.jpg?v=1743429669,1,"",false,,,2592,,,,,,,,,,,,vitamin-c; hyaluronic-acid; collagen; niacinamide,,,,,,,,,,,,,,,,,,,,,,,,cream,,,,all-skin-types,,,,,kg,,,active
